Timestamp,What was your undergraduate major?,What type of phone do you have?,How many years ago did you receive your undergraduate degree?,How many hours do you sleep in a typical night?,Rate your proficiency with git/github,Rate your proficiency with Python,Have you ever used SQL?,What is your favorite sport to watch on tv?,What is your ideal outdoor temperature (in Fahrenheit)? ,How many US states have you visited?,What is your favorite season?
2026/08/26 10:29:47 AM AST,Applied Mathematics,iPhone,4-6 years,5.5,2,4,Yes,Basketball,76,39,Fall
2026/08/26 10:42:03 AM AST,"Computational Applied Mathematics and Statistics, Data Science Minor",iPhone,< 1 year,6,3,4,Yes,Basketball,73,11,Winter
2026/08/26 10:50:59 AM AST,English,iPhone,< 1 year,6,4,4,No,Soccer,70,"47 (all except California, Hawaii, and Alaska)",Fall
2026/08/26 11:00:11 AM AST,Data Science,iPhone,< 1 year,7,5,4,Yes,soccer,64,20,Fall
2026/08/26 11:01:02 AM AST,Data Science/Mathematics,iPhone,< 1 year,7-Jun,5,4,Yes,Football,70's,7,Fall
2026/08/26 11:02:28 AM AST,Computer Science,iPhone,1-3 years,8-Jun,5,5,Yes,Football,75,8,Fall
2026/08/26 11:02:45 AM AST,Math and Computer Science,iPhone,< 1 year,7,4,5,Yes,Football,70,22,Fall
2026/08/26 11:04:33 AM AST,computer science,Android,< 1 year,7,4,4,Yes,football,70,4,Fall
2026/08/26 11:04:33 AM AST,Applied Mathematics in Economics,iPhone,< 1 year,7,1,4,No,Basketball,78,25ish,Fall
2026/08/26 11:05:14 AM AST,Psychology,iPhone,1-3 years,7,2,2,No,Football,68,15,Fall
2026/08/26 11:05:16 AM AST,Applied Data Analytics,iPhone,< 1 year,8,3,3,Yes,College Basketball,77,20,Summer
2026/08/26 11:05:31 AM AST,Computer Science ,iPhone,< 1 year,7-Jun,3,3,No,Basketball ,71,9 states ,Fall
2026/08/26 11:06:08 AM AST,Data Science/Econ,iPhone,< 1 year,10-Jun,2,4,No,Baseball/Football,70,34,Summer
2026/08/26 11:07:20 AM AST,Computer science,iPhone,4-6 years,8-Jul,5,4,Yes,Football or MMA,57,26,Spring
2026/08/26 11:07:36 AM AST,Information Technology: Data Science and Analytics ,iPhone,1-3 years,6 hours,3,3,Yes,soccer,79,10,Summer
2026/08/26 11:10:34 AM AST,Statistics and Linguistics,iPhone,4-6 years,8-9.5,3,3,Yes,Baseball,65,23,Spring
2026/08/26 11:14:14 AM AST,Sports Management ,iPhone,4-6 years,7,1,2,No,Football,73,Probably around 35. ,Spring
2026/08/26 11:14:43 AM AST,Math and Operations Research,iPhone,< 1 year,6,3,4,No,American Football,68,32,Summer
2026/08/26 11:14:43 AM AST,Computer Science and Data Analytics,iPhone,< 1 year,7,3,3,Yes,Football,68,15,Fall
2026/08/26 11:14:49 AM AST,Economics,iPhone,1-3 years,7,2,2,Yes,Basketball,75,22,Summer
2026/08/26 11:14:51 AM AST,Mechanical Engineering ,iPhone,1-3 years,8,3,2,No,College Football,65,17,Fall
2026/08/26 11:14:52 AM AST,Accounting ,Android,1-3 years,9,1,1,No,Basketball,73,12,Winter
2026/08/26 11:14:52 AM AST,Computational & Data Sciences ,iPhone,4-6 years,7-Jun,2,3,Yes,Basketball,75,20,Fall
2026/08/26 11:14:57 AM AST,Computer Science ,iPhone,< 1 year,10-Aug,3,4,No,Football or Soccer. GO COWBOYS!!,68,30,Fall
2026/08/26 11:15:04 AM AST,Mechanical Engineering,iPhone,1-3 years,7,2,2,Yes,Cricket,77,1,Spring
2026/08/26 11:15:09 AM AST,Business Administration ,iPhone,4-6 years,8.5,3,3,Yes,Soccer,72,5,Spring
2026/08/26 11:15:15 AM AST,Intelligence Analysis ,iPhone,< 1 year,7ish,2,2,Yes,Tennis,High sixties ,All of the east coast,Fall
2026/08/26 11:15:19 AM AST,Mathematics and statistics,iPhone,< 1 year,8,2,2,Yes,Hockey,68,18,Spring
2026/08/26 11:15:22 AM AST,Computer Science,iPhone,1-3 years,7,5,4,Yes,Football,40,5,Winter
2026/08/26 11:15:23 AM AST,Mechanical Engineering,iPhone,1-3 years,8,3,4,Yes,Football,67,21,Fall
2026/08/26 11:15:35 AM AST,Psychology,iPhone,1-3 years,7,3,3,No,College Softball,60,17,Winter
2026/08/26 11:15:40 AM AST,Information Science & Economics,iPhone,< 1 year,8,4,3,Yes,Lacrosse,68,23,Fall
2026/08/26 11:15:46 AM AST,Economics,iPhone,< 1 year,7,1,3,Yes,Hockey,68,20,Fall
2026/08/26 11:15:52 AM AST,"Economics, Government ",iPhone,< 1 year,7,1,2,No,Rugby,77,25,Summer
2026/08/26 11:15:56 AM AST,International economics and finance ,iPhone,1-3 years,9-Aug,2,2,No,Football or golf ,75 slightly sunny ,22,Fall
2026/08/26 11:15:58 AM AST,Economics,iPhone,1-3 years,6,1,3,No,Football,65,13,Fall
2026/08/26 11:16:06 AM AST,Homayoun Fatehi,iPhone,4-6 years,0 to 8 hours,3,3,Yes,Soccer ,65,4,Fall
2026/08/26 11:16:10 AM AST,FinTech and Big Data Analytics ,iPhone,< 1 year,about 7 sometimes 8,3,3,Yes,Football (specifically playoffs),70 degrees,10,Spring
2026/08/26 11:16:39 AM AST,Data Science,iPhone,< 1 year,7 to 8,2,5,Yes,Baseball,75,10,Spring
2026/08/26 11:16:48 AM AST,Economics,iPhone,7-10 years,8.25,3,2,No,mountain bike racing,75 F,48,Spring
2026/08/26 11:16:57 AM AST,Information Systems and Operations Management,iPhone,4-6 years,7,1,2,Yes,Cricket,85,11,Spring
2026/08/26 11:17:16 AM AST,Economics,iPhone,7-10 years,8,1,2,No,Football,68,24,Fall
2026/08/26 11:18:15 AM AST,business marketing and management,iPhone,4-6 years,7,2,2,Yes,baseball/softball,72,5,Fall
2026/08/26 11:19:27 AM AST,Computer science,,< 1 year,6-7 hours,3,3,Yes,"Track (if I could, I don’t pay for subscriptions)",73,8,Fall
2026/08/26 11:19:32 AM AST,Statistics,iPhone,< 1 year,7,1,3,No,College Football,65,23,Spring
2026/08/26 11:42:36 AM AST,Industrial and Systems Engineering,Android,7-10 years,8 to 9,4,4,Yes,Usually American Football,Mid 70's,10+,Fall
2026/08/26 11:42:56 AM AST,Bioinformatics and Biology,iPhone,< 1 year,7-May,2,3,No,Football,40 degrees,16,Winter
2026/08/26 11:44:34 AM AST,Computer Science,iPhone,< 1 year,6-Apr,3,3,Yes,Soccer,75,1,Summer
2026/08/26 11:48:22 AM AST,IT-Concentration in Data Science,iPhone,1-3 years,6.5,3,3,Yes,Soccer and Fustal,68,5,Spring
2026/08/26 11:52:24 AM AST,Data Science,iPhone,< 1 year,7,4,4,No,Football,63,"If I had to guess, 23",Fall
2026/08/26 12:16:47 PM AST,English (Education),Android,10+ years,7,1,2,Yes,Does the Superbowl count? That's all I watch. ,75,"No clue. Many. When I was a kid, my family and I traveled around the country for a year in an RV.",Fall
